Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,42.540000915527344,43.07500076293945,42.314998626708984,43.064998626708984,40.568931579589844,102223600
2018-01-03,43.13249969482422,43.63750076293945,42.9900016784668,43.057498931884766,40.561866760253906,118071600
2018-01-04,43.1349983215332,43.36750030517578,43.02000045776367,43.25749969482422,40.750274658203125,89738400
2018-01-05,43.36000061035156,43.842498779296875,43.26250076293945,43.75,41.214229583740234,94640000
2018-01-08,43.587501525878906,43.90250015258789,43.48249816894531,43.587501525878906,41.0611457824707,82271200
2018-01-09,43.63750076293945,43.76499938964844,43.352500915527344,43.58250045776367,41.05643844604492,86336000
2018-01-10,43.290000915527344,43.57500076293945,43.25,43.5724983215332,41.0470085144043,95839600
2018-01-11,43.647499084472656,43.872501373291016,43.622501373291016,43.81999969482422,41.28017807006836,74670800
2018-01-12,44.04499816894531,44.34000015258789,43.912498474121094,44.272499084472656,41.70643997192383,101672400
2018-01-16,44.474998474121094,44.84749984741211,44.03499984741211,44.04750061035156,41.494483947753906,118263600
2018-01-17,44.037498474121094,44.8125,43.76750183105469,44.775001525878906,42.17982864379883,137547200
2018-01-18,44.842498779296875,45.025001525878906,44.5625,44.814998626708984,42.217498779296875,124773600
2018-01-19,44.65250015258789,44.89500045776367,44.352500915527344,44.6150016784668,42.02908706665039,129700400
2018-01-22,44.32500076293945,44.44499969482422,44.150001525878906,44.25,41.68524169921875,108434400
2018-01-23,44.32500076293945,44.86000061035156,44.20500183105469,44.2599983215332,41.694664001464844,130756400
2018-01-24,44.3125,44.32500076293945,43.29999923706055,43.55500030517578,41.03053665161133,204420400
2018-01-25,43.627498626708984,43.73749923706055,42.63249969482422,42.77750015258789,40.298091888427734,166116000
2018-01-26,43.0,43.0,42.51499938964844,42.877498626708984,40.39229965209961,156572000
2018-01-29,42.540000915527344,42.540000915527344,41.76750183105469,41.9900016784668,39.55624008178711,202561600
2018-01-30,41.38249969482422,41.842498779296875,41.17499923706055,41.74250030517578,39.32308578491211,184192800
2018-01-31,41.717498779296875,42.11000061035156,41.625,41.85749816894531,39.43142318725586,129915600
2018-02-01,41.79249954223633,42.154998779296875,41.689998626708984,41.94499969482422,39.51384353637695,188923200
2018-02-02,41.5,41.70000076293945,40.025001525878906,40.125,37.79933166503906,346375200
2018-02-05,39.775001525878906,40.970001220703125,39.0,39.122501373291016,36.854942321777344,290954000
2018-02-06,38.70750045776367,40.93000030517578,38.5,40.75749969482422,38.39517593383789,272975200
2018-02-07,40.772499084472656,40.849998474121094,39.76750183105469,39.8849983215332,37.573246002197266,206434400
2018-02-08,40.0724983215332,40.25,38.75749969482422,38.787498474121094,36.53934860229492,217562000
2018-02-09,39.26750183105469,39.47249984741211,37.560001373291016,39.102500915527344,36.986289978027344,282690400
2018-02-12,39.625,40.97249984741211,39.377498626708984,40.6775016784668,38.47605514526367,243278000
2018-02-13,40.48749923706055,41.1875,40.412498474121094,41.084999084472656,38.86149215698242,130196800
2018-02-14,40.7599983215332,41.8849983215332,40.720001220703125,41.842498779296875,39.57799530029297,162579600
2018-02-15,42.4474983215332,43.272499084472656,42.25,43.247501373291016,40.906959533691406,204588800
2018-02-16,43.09000015258789,43.70500183105469,42.942501068115234,43.10749816894531,40.7745246887207,160704400
2018-02-20,43.01250076293945,43.564998626708984,42.85499954223633,42.962501525878906,40.637386322021484,135722000
2018-02-21,43.20750045776367,43.529998779296875,42.752498626708984,42.76750183105469,40.452938079833984,149886400
2018-02-22,42.95000076293945,43.48749923706055,42.9275016784668,43.125,40.791080474853516,123967600
2018-02-23,43.41749954223633,43.912498474121094,43.3849983215332,43.875,41.5004997253418,135249600
2018-02-26,44.087501525878906,44.84749984741211,44.0525016784668,44.74250030517578,42.32105255126953,152648800
2018-02-27,44.775001525878906,45.119998931884766,44.540000915527344,44.59749984741211,42.18389129638672,155712400
2018-02-28,44.814998626708984,45.154998779296875,44.51250076293945,44.529998779296875,42.12004470825195,151128400
2018-03-01,44.6349983215332,44.94499969482422,43.165000915527344,43.75,41.382259368896484,195208000
2018-03-02,43.20000076293945,44.07500076293945,43.11249923706055,44.0525016784668,41.66839599609375,153816000
2018-03-05,43.8025016784668,44.435001373291016,43.630001068115234,44.20500183105469,41.812644958496094,113605600
2018-03-06,44.477500915527344,44.5625,44.032501220703125,44.16749954223633,41.77717208862305,95154000
2018-03-07,43.73500061035156,43.962501525878906,43.567501068115234,43.75749969482422,41.38935852050781,126814000
2018-03-08,43.869998931884766,44.279998779296875,43.76750183105469,44.23500061035156,41.84101486206055,95096400
2018-03-09,44.4900016784668,45.0,44.34749984741211,44.994998931884766,42.559879302978516,128740800
2018-03-12,45.0724983215332,45.59749984741211,45.0525016784668,45.43000030517578,42.97134017944336,128828400
2018-03-13,45.647499084472656,45.875,44.810001373291016,44.99250030517578,42.5575065612793,126774000
2018-03-14,45.08000183105469,45.130001068115234,44.45249938964844,44.61000061035156,42.19572830200195,117473600
2018-03-15,44.625,45.060001373291016,44.51750183105469,44.662498474121094,42.24538040161133,90975200
